Data Source in SDW: http://sdw.ecb.europa.eu/browseSelection.do?org.apache.struts.taglib.html.TOKEN=674b45f478b7c655939c4c091b855685&df=true&ec=&dc=&oc=&pb=&rc=&DATASET=3&removeItem=&removedItemList=&mergeFilter=&activeTab=YC&showHide=&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=9691417&legendRef=reference&legendPub=published&legendNor=
,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_10Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_11Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_12Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_13Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_14Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_15Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_1Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_20Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_25Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_2Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_30Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_3Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_4Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_5Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_6M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_6Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_7Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_8Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.PY_9Y
2019-09-24,-0.537550,-0.492500,-0.450117,-0.410730,-0.374431,-0.341162,-0.721592,-0.213740,-0.132146,-0.768870,-0.077112,-0.666780,-0.787330,-0.781758,-0.758217,-0.686761,-0.722463,-0.679305,-0.632452,-0.584590
2019-09-23,-0.535217,-0.488293,-0.444082,-0.402956,-0.365031,-0.330256,-0.720872,-0.197032,-0.111751,-0.769401,-0.054257,-0.667017,-0.789688,-0.785415,-0.762319,-0.686374,-0.726192,-0.682016,-0.633700,-0.584110
2019-09-20,-0.469752,-0.420353,-0.374073,-0.331215,-0.291837,-0.255837,-0.710842,-0.118677,-0.031316,-0.748488,0.027479,-0.667160,-0.759800,-0.747858,-0.718135,-0.682873,-0.676286,-0.627205,-0.574716,-0.521603
2019-09-19,-0.452814,-0.402915,-0.356312,-0.313264,-0.273791,-0.237763,-0.703250,-0.100891,-0.013926,-0.743130,0.044565,-0.654208,-0.753769,-0.739955,-0.708057,-0.672188,-0.664172,-0.613372,-0.559527,-0.505395
2019-09-18,-0.451650,-0.398589,-0.349069,-0.303357,-0.261468,-0.223260,-0.726481,-0.078322,0.013605,-0.764676,0.075375,-0.680226,-0.773960,-0.758271,-0.723827,-0.697019,-0.676854,-0.622636,-0.565247,-0.507601
2019-09-17,-0.431693,-0.376572,-0.325153,-0.277714,-0.234267,-0.194660,-0.707020,-0.044614,0.050403,-0.751034,0.114202,-0.654358,-0.763415,-0.748732,-0.713828,-0.673486,-0.665456,-0.609301,-0.549724,-0.489832
2019-09-16,-0.426153,-0.369769,-0.317194,-0.268705,-0.224311,-0.183850,-0.715349,-0.030655,0.066296,-0.757243,0.131372,-0.665280,-0.768090,-0.751995,-0.715643,-0.683397,-0.665766,-0.608083,-0.546998,-0.485656
2019-09-13,-0.438898,-0.382162,-0.329082,-0.280002,-0.234976,-0.193879,-0.713528,-0.037878,0.061028,-0.756264,0.127437,-0.666465,-0.770157,-0.757438,-0.723976,-0.683065,-0.676237,-0.619940,-0.559601,-0.498510
2019-09-12,-0.522117,-0.468814,-0.419451,-0.374312,-0.333361,-0.296371,-0.751127,-0.159118,-0.074023,-0.785584,-0.017249,-0.746468,-0.809792,-0.809625,-0.786052,-0.743422,-0.745099,-0.693410,-0.636544,-0.578555
2019-09-11,-0.516758,-0.458108,-0.403406,-0.352914,-0.306629,-0.264388,-0.810274,-0.103835,-0.001742,-0.864163,0.066917,-0.738583,-0.877492,-0.859870,-0.820568,-0.765604,-0.767441,-0.706636,-0.642673,-0.578694
2019-09-10,-0.521021,-0.463003,-0.408953,-0.359107,-0.313447,-0.271799,-0.809461,-0.113635,-0.013113,-0.866258,0.054489,-0.732742,-0.880387,-0.862774,-0.823323,-0.761821,-0.770158,-0.709505,-0.645877,-0.582380
2019-09-09,-0.524784,-0.466859,-0.412866,-0.363047,-0.317390,-0.275727,-0.822565,-0.117377,-0.016660,-0.873930,0.051091,-0.752828,-0.885311,-0.866449,-0.826549,-0.779222,-0.773333,-0.712799,-0.649344,-0.586010
2019-09-06,-0.582443,-0.528593,-0.478185,-0.431514,-0.388623,-0.349397,-0.845884,-0.199695,-0.104126,-0.892467,-0.039752,-0.786402,-0.905061,-0.890551,-0.856433,-0.808552,-0.809431,-0.754992,-0.697227,-0.639059
2019-09-05,-0.535015,-0.478035,-0.425005,-0.376125,-0.331362,-0.290536,-0.855364,-0.135460,-0.036842,-0.896701,0.029509,-0.795915,-0.901408,-0.878391,-0.836157,-0.818586,-0.781879,-0.721142,-0.658032,-0.595378
2019-09-04,-0.604188,-0.552662,-0.504702,-0.460502,-0.420032,-0.383128,-0.858139,-0.243004,-0.153895,-0.911746,-0.093910,-0.784854,-0.925217,-0.909496,-0.874026,-0.812756,-0.826332,-0.772074,-0.715296,-0.658747
2019-09-03,-0.650725,-0.600572,-0.553525,-0.509897,-0.469755,-0.433007,-0.865620,-0.292528,-0.202699,-0.919712,-0.142142,-0.798948,-0.938647,-0.929938,-0.901321,-0.823706,-0.859579,-0.810142,-0.757085,-0.703300
2019-09-02,-0.640465,-0.587995,-0.539062,-0.493900,-0.452504,-0.414726,-0.880185,-0.271101,-0.179691,-0.939796,-0.118152,-0.801526,-0.957718,-0.944982,-0.911269,-0.831282,-0.864382,-0.810238,-0.753096,-0.695876
2019-08-30,-0.647222,-0.594972,-0.546687,-0.502568,-0.462536,-0.426356,-0.882223,-0.291780,-0.208070,-0.929649,-0.152146,-0.841484,-0.951163,-0.944670,-0.915577,-0.854306,-0.871059,-0.817630,-0.760356,-0.702791
2019-08-29,-0.651568,-0.602309,-0.556019,-0.512982,-0.473263,-0.436784,-0.876509,-0.296141,-0.205248,-0.928908,-0.143683,-0.805732,-0.943833,-0.931576,-0.900710,-0.832689,-0.857999,-0.808555,-0.756088,-0.703185
2019-08-28,-0.675461,-0.629482,-0.586067,-0.545550,-0.508043,-0.473511,-0.865942,-0.339789,-0.253033,-0.917162,-0.194192,-0.800467,-0.934753,-0.927051,-0.901477,-0.825104,-0.864145,-0.819817,-0.772043,-0.723350
2019-08-27,-0.637384,-0.587383,-0.540246,-0.496317,-0.455703,-0.418355,-0.857278,-0.274109,-0.180817,-0.908200,-0.117644,-0.791770,-0.924439,-0.914235,-0.885219,-0.816397,-0.843802,-0.795041,-0.742724,-0.689558
2019-08-26,-0.614633,-0.562692,-0.513895,-0.468546,-0.426716,-0.388322,-0.855873,-0.240548,-0.145275,-0.908068,-0.080831,-0.786136,-0.922738,-0.909588,-0.877105,-0.812584,-0.832182,-0.780127,-0.724842,-0.669066
2019-08-23,-0.601648,-0.547778,-0.497214,-0.450259,-0.406976,-0.367272,-0.850330,-0.214635,-0.116352,-0.906302,-0.049910,-0.775265,-0.922179,-0.908612,-0.874736,-0.803779,-0.827884,-0.773651,-0.716124,-0.658157
2019-08-22,-0.596028,-0.543679,-0.494476,-0.448734,-0.406531,-0.367788,-0.831350,-0.218637,-0.122466,-0.886666,-0.057418,-0.758248,-0.903300,-0.891291,-0.859375,-0.785932,-0.814628,-0.762493,-0.706964,-0.650850
2019-08-21,-0.627154,-0.574003,-0.524161,-0.477917,-0.435321,-0.396270,-0.850077,-0.246313,-0.149827,-0.917352,-0.084602,-0.760431,-0.939146,-0.928656,-0.896436,-0.794571,-0.850589,-0.797103,-0.740251,-0.682962
2019-08-20,-0.653722,-0.600740,-0.550915,-0.504582,-0.461825,-0.422569,-0.866948,-0.271405,-0.173913,-0.933729,-0.107964,-0.780113,-0.956843,-0.948296,-0.918032,-0.812993,-0.873871,-0.821707,-0.765812,-0.709158
2019-08-19,-0.598187,-0.543913,-0.493363,-0.446721,-0.403956,-0.364898,-0.853375,-0.215960,-0.120728,-0.919934,-0.056475,-0.759337,-0.937349,-0.921253,-0.883483,-0.795593,-0.832745,-0.775247,-0.715270,-0.655654
2019-08-16,-0.664432,-0.618399,-0.575504,-0.535920,-0.499626,-0.466481,-0.857541,-0.340127,-0.259340,-0.923451,-0.204805,-0.767266,-0.944100,-0.934009,-0.904070,-0.801918,-0.862225,-0.814098,-0.763550,-0.713127
2019-08-15,-0.651092,-0.604366,-0.560759,-0.520469,-0.483490,-0.449691,-0.846167,-0.320653,-0.238053,-0.911306,-0.182279,-0.757801,-0.932061,-0.922283,-0.892555,-0.791632,-0.850709,-0.802361,-0.751402,-0.700429
2019-08-14,-0.610607,-0.561142,-0.514901,-0.472119,-0.432811,-0.396855,-0.829907,-0.259421,-0.171406,-0.889576,-0.111996,-0.749690,-0.907663,-0.896100,-0.864613,-0.780250,-0.820727,-0.770016,-0.716449,-0.662729
2019-08-13,-0.561612,-0.510566,-0.463336,-0.420005,-0.380468,-0.344507,-0.820865,-0.208482,-0.122159,-0.883020,-0.064046,-0.729468,-0.896453,-0.877550,-0.838378,-0.764979,-0.787575,-0.731146,-0.673118,-0.616084
2019-08-12,-0.551943,-0.497292,-0.446681,-0.400216,-0.357796,-0.319198,-0.827550,-0.173120,-0.080408,-0.893072,-0.018017,-0.732034,-0.907614,-0.887978,-0.846712,-0.769067,-0.792903,-0.732924,-0.671089,-0.610192
2019-08-09,-0.533897,-0.477973,-0.426110,-0.378440,-0.334879,-0.295213,-0.822279,-0.144892,-0.049396,-0.883769,0.014871,-0.732741,-0.896508,-0.875941,-0.833957,-0.767388,-0.779361,-0.718438,-0.655508,-0.593408
2019-08-08,-0.522462,-0.467631,-0.416898,-0.370355,-0.327888,-0.289266,-0.804816,-0.143218,-0.050592,-0.869405,0.011726,-0.709582,-0.882795,-0.862036,-0.819784,-0.746582,-0.765164,-0.704546,-0.642225,-0.580969
2019-08-07,-0.573412,-0.521820,-0.473829,-0.429615,-0.389136,-0.352221,-0.809256,-0.211941,-0.122596,-0.875055,-0.062402,-0.718151,-0.893635,-0.879658,-0.844475,-0.753120,-0.796541,-0.741933,-0.684855,-0.628097
2019-08-06,-0.499901,-0.445221,-0.394379,-0.347559,-0.304717,-0.265667,-0.779245,-0.117517,-0.023380,-0.833801,0.039955,-0.702944,-0.845920,-0.827462,-0.788486,-0.732123,-0.736933,-0.678731,-0.618097,-0.557881
2019-08-05,-0.485970,-0.431926,-0.381812,-0.335762,-0.293696,-0.255407,-0.772562,-0.110487,-0.018573,-0.826521,0.043244,-0.694476,-0.836731,-0.816236,-0.775612,-0.724568,-0.722960,-0.664197,-0.603453,-0.543472
2019-08-02,-0.447995,-0.391314,-0.338682,-0.290271,-0.246016,-0.205715,-0.754779,-0.053104,0.043667,-0.804654,0.108713,-0.683633,-0.813198,-0.791570,-0.749577,-0.710863,-0.695106,-0.634110,-0.570845,-0.508195
2019-08-01,-0.414617,-0.355138,-0.299983,-0.249307,-0.203027,-0.160916,-0.742618,-0.001708,0.099076,-0.794304,0.166766,-0.667745,-0.802180,-0.778335,-0.733248,-0.696488,-0.675269,-0.610660,-0.543869,-0.477891
2019-07-31,-0.386347,-0.323905,-0.266052,-0.212931,-0.164441,-0.120338,-0.743726,0.046287,0.151685,-0.793816,0.222435,-0.669118,-0.799044,-0.771866,-0.723065,-0.697874,-0.661229,-0.592787,-0.522304,-0.452848
2019-07-30,-0.368795,-0.305647,-0.247032,-0.193133,-0.143874,-0.099029,-0.729554,0.070667,0.178129,-0.776475,0.250273,-0.660902,-0.781178,-0.754445,-0.706241,-0.687194,-0.644805,-0.576462,-0.505784,-0.435896
2019-07-29,-0.365994,-0.302447,-0.243619,-0.189641,-0.140396,-0.095626,-0.734294,0.073381,0.180204,-0.784982,0.251887,-0.657701,-0.789463,-0.760864,-0.710363,-0.687311,-0.646773,-0.576647,-0.504608,-0.433746
2019-07-26,-0.339716,-0.274751,-0.214610,-0.159423,-0.109074,-0.063297,-0.726037,0.109518,0.218738,-0.773259,0.292013,-0.653371,-0.775293,-0.744689,-0.692356,-0.681495,-0.627002,-0.555156,-0.481447,-0.408985
2019-07-25,-0.309309,-0.245948,-0.187806,-0.134829,-0.086767,-0.043268,-0.728925,0.119678,0.222043,-0.774008,0.290640,-0.649007,-0.768514,-0.729622,-0.670301,-0.680797,-0.599945,-0.525087,-0.450067,-0.377614
2019-07-24,-0.351584,-0.285680,-0.224868,-0.169215,-0.118550,-0.072567,-0.739704,0.100496,0.209608,-0.796862,0.282770,-0.650487,-0.801292,-0.769547,-0.714695,-0.685297,-0.646545,-0.572134,-0.496283,-0.422131
2019-07-23,-0.315013,-0.246889,-0.184231,-0.127038,-0.075081,-0.028005,-0.743463,0.148620,0.259669,-0.796881,0.334056,-0.654543,-0.795802,-0.758089,-0.697504,-0.689591,-0.624180,-0.545269,-0.465593,-0.388232
2019-07-22,-0.304702,-0.237390,-0.175635,-0.119379,-0.068357,-0.022190,-0.737786,0.150639,0.259116,-0.791852,0.331759,-0.645185,-0.789362,-0.749792,-0.687634,-0.681904,-0.613281,-0.533904,-0.454247,-0.377274
2019-07-19,-0.290677,-0.223152,-0.161176,-0.104697,-0.053455,-0.007075,-0.733840,0.166639,0.275715,-0.783090,0.348763,-0.647555,-0.778158,-0.737392,-0.674655,-0.681828,-0.600001,-0.520429,-0.440600,-0.363447
2019-07-18,-0.269943,-0.203453,-0.142655,-0.087421,-0.037435,0.007714,-0.715137,0.176213,0.281713,-0.767891,0.352326,-0.620468,-0.762350,-0.719635,-0.654943,-0.658314,-0.578876,-0.498578,-0.418657,-0.341923
2019-07-17,-0.263112,-0.196950,-0.136479,-0.081559,-0.031869,0.013007,-0.717899,0.180442,0.285260,-0.765948,0.355417,-0.628571,-0.757576,-0.713250,-0.647731,-0.664424,-0.571336,-0.491015,-0.411254,-0.334781
2019-07-16,-0.227378,-0.160927,-0.100264,-0.045221,0.004548,0.049469,-0.711766,0.216913,0.321650,-0.749714,0.391730,-0.633385,-0.734669,-0.685894,-0.617386,-0.665191,-0.538970,-0.457278,-0.376584,-0.299477
2019-07-15,-0.221228,-0.154025,-0.092641,-0.036920,0.013476,0.058976,-0.705947,0.228645,0.334796,-0.745438,0.405818,-0.626027,-0.731322,-0.682929,-0.614374,-0.658377,-0.535599,-0.453339,-0.371954,-0.294095
2019-07-12,-0.177896,-0.108884,-0.046088,0.010739,0.062005,0.108196,-0.702636,0.279812,0.386846,-0.739454,0.458386,-0.620375,-0.719655,-0.664768,-0.590003,-0.654095,-0.505775,-0.418958,-0.333876,-0.253076
2019-07-11,-0.202529,-0.133966,-0.071231,-0.014199,0.037445,0.084117,-0.699714,0.258451,0.367652,-0.734599,0.440717,-0.627073,-0.718729,-0.669663,-0.600662,-0.656485,-0.521305,-0.438225,-0.355791,-0.276714
2019-07-10,-0.229449,-0.163189,-0.102618,-0.047599,0.002185,0.047150,-0.690483,0.214935,0.319972,-0.735498,0.390266,-0.605174,-0.725602,-0.680532,-0.614652,-0.639467,-0.538071,-0.457635,-0.377780,-0.301215
2019-07-09,-0.279670,-0.214971,-0.155506,-0.101260,-0.052004,-0.007393,-0.694141,0.159868,0.264986,-0.742574,0.335410,-0.612063,-0.739895,-0.702870,-0.644453,-0.644479,-0.574195,-0.498830,-0.422893,-0.349272
2019-07-08,-0.315056,-0.251871,-0.193735,-0.140659,-0.092435,-0.048740,-0.699438,0.115223,0.218343,-0.753785,0.287456,-0.612021,-0.755999,-0.723098,-0.668201,-0.646319,-0.600972,-0.528228,-0.454566,-0.382927
2019-07-05,-0.277946,-0.213606,-0.154607,-0.100887,-0.052183,-0.008129,-0.702957,0.156670,0.260044,-0.749691,0.329269,-0.620816,-0.744635,-0.705332,-0.645075,-0.653448,-0.573508,-0.497340,-0.421023,-0.347354
2019-07-04,-0.334969,-0.271475,-0.212869,-0.159227,-0.110392,-0.066075,-0.708739,0.100649,0.205698,-0.761560,0.276126,-0.627484,-0.765675,-0.735655,-0.683482,-0.659040,-0.618378,-0.547069,-0.474220,-0.402895
2019-07-03,-0.319717,-0.255935,-0.197241,-0.143652,-0.094963,-0.050849,-0.703888,0.114639,0.218671,-0.759490,0.288377,-0.615573,-0.762621,-0.730185,-0.675349,-0.650141,-0.607875,-0.534683,-0.460459,-0.388207
2019-07-02,-0.292193,-0.225202,-0.163742,-0.107768,-0.057018,-0.011117,-0.706138,0.160518,0.268091,-0.766028,0.340088,-0.608270,-0.767884,-0.731382,-0.671310,-0.646814,-0.598350,-0.519907,-0.440893,-0.364392
2019-07-01,-0.278880,-0.212139,-0.151449,-0.096650,-0.047368,-0.003121,-0.694190,0.159778,0.260326,-0.754804,0.327314,-0.603273,-0.759426,-0.724316,-0.663928,-0.638223,-0.589584,-0.509428,-0.428917,-0.351435
2019-06-28,-0.255779,-0.189654,-0.129664,-0.075598,-0.027044,0.016500,-0.690610,0.176512,0.275146,-0.745460,0.340845,-0.603752,-0.745025,-0.706020,-0.642931,-0.637436,-0.566925,-0.485928,-0.405180,-0.327880
2019-06-27,-0.244725,-0.180180,-0.121631,-0.068867,-0.021484,0.021008,-0.689041,0.177153,0.273409,-0.732738,0.337534,-0.617234,-0.727247,-0.686604,-0.623744,-0.645071,-0.548932,-0.469577,-0.390627,-0.315120
2019-06-26,-0.252112,-0.186903,-0.127782,-0.074527,-0.026722,0.016135,-0.686207,0.173532,0.270518,-0.739173,0.335120,-0.601348,-0.737670,-0.698272,-0.635307,-0.634310,-0.559792,-0.479525,-0.399644,-0.323273
2019-06-25,-0.263763,-0.199398,-0.141036,-0.088461,-0.041265,0.001047,-0.688124,0.156454,0.252222,-0.741869,0.316021,-0.602948,-0.741406,-0.703191,-0.641467,-0.635984,-0.567185,-0.488103,-0.409334,-0.333990
2019-06-24,-0.233399,-0.168225,-0.109303,-0.056350,-0.008904,0.033566,-0.681753,0.189148,0.284826,-0.734458,0.348532,-0.593710,-0.730425,-0.687949,-0.622178,-0.628195,-0.544439,-0.462588,-0.381693,-0.304769
2019-06-21,-0.218301,-0.154022,-0.096078,-0.044119,0.002354,0.043900,-0.679143,0.195774,0.289046,-0.730646,0.351144,-0.587508,-0.723066,-0.677019,-0.608525,-0.623855,-0.529089,-0.446452,-0.365472,-0.288953
2019-06-20,-0.255871,-0.190760,-0.131838,-0.078848,-0.031345,0.011194,-0.698441,0.167111,0.263028,-0.750252,0.326898,-0.614021,-0.747209,-0.706213,-0.641822,-0.646881,-0.565170,-0.484091,-0.403702,-0.327081
2019-06-19,-0.225485,-0.157923,-0.096803,-0.041854,0.007387,0.051467,-0.674035,0.212900,0.312114,-0.732649,0.378141,-0.580972,-0.732378,-0.691446,-0.625454,-0.617096,-0.546290,-0.462295,-0.378907,-0.299390
2019-06-18,-0.250969,-0.182652,-0.120805,-0.065176,-0.015309,0.029342,-0.685219,0.192916,0.293458,-0.751426,0.360368,-0.583902,-0.755828,-0.717518,-0.652765,-0.623058,-0.573944,-0.489740,-0.405828,-0.325624
2019-06-17,-0.177954,-0.110500,-0.049444,0.005467,0.054685,0.098750,-0.636072,0.260139,0.359304,-0.686230,0.425284,-0.556751,-0.683083,-0.641647,-0.576015,-0.587299,-0.497414,-0.413931,-0.330933,-0.251685
2019-06-14,-0.190277,-0.123956,-0.063921,-0.009923,0.038483,0.081828,-0.641106,0.240635,0.338260,-0.690983,0.403234,-0.561507,-0.687754,-0.646727,-0.581952,-0.592252,-0.504511,-0.422343,-0.340700,-0.262771
2019-06-13,-0.181882,-0.113800,-0.051953,0.003826,0.053931,0.098864,-0.632750,0.263855,0.365402,-0.677193,0.432974,-0.568167,-0.675375,-0.637399,-0.575190,-0.592352,-0.499184,-0.417320,-0.335086,-0.255952
2019-06-12,-0.173299,-0.104324,-0.041691,0.014777,0.065487,0.110951,-0.631613,0.277817,0.380471,-0.676812,0.448767,-0.565539,-0.674757,-0.635935,-0.572559,-0.590323,-0.495258,-0.412098,-0.328636,-0.248377
2019-06-11,-0.171089,-0.101528,-0.038273,0.018820,0.070138,0.116180,-0.628972,0.285361,0.389520,-0.672645,0.458819,-0.566998,-0.671027,-0.633171,-0.570652,-0.590006,-0.493877,-0.410884,-0.327287,-0.246671
2019-06-10,-0.159483,-0.088884,-0.024693,0.033238,0.085300,0.132004,-0.622718,0.303568,0.409155,-0.667734,0.479386,-0.559142,-0.666535,-0.628359,-0.565021,-0.582731,-0.487136,-0.402901,-0.318039,-0.236203
2019-06-07,-0.203415,-0.136793,-0.076164,-0.021408,0.027831,0.072026,-0.629856,0.234536,0.334671,-0.675369,0.401331,-0.567212,-0.676631,-0.642409,-0.583943,-0.590384,-0.511352,-0.432463,-0.352752,-0.275729
2019-06-06,-0.164770,-0.096075,-0.033590,0.022812,0.073502,0.118973,-0.616659,0.285963,0.388709,-0.655621,0.457056,-0.565220,-0.654033,-0.617851,-0.557347,-0.583734,-0.482450,-0.401070,-0.318831,-0.239364
2019-06-05,-0.164998,-0.093298,-0.028185,0.030508,0.083199,0.130424,-0.630584,0.303574,0.409955,-0.678992,0.480680,-0.564188,-0.679655,-0.641831,-0.577774,-0.588657,-0.498564,-0.412758,-0.326312,-0.243009
2019-06-04,-0.144441,-0.075170,-0.012371,0.044168,0.094885,0.140313,-0.624814,0.306771,0.409032,-0.663607,0.477040,-0.565938,-0.657139,-0.615058,-0.549203,-0.588005,-0.470019,-0.385453,-0.300970,-0.219996
2019-06-03,-0.142101,-0.071354,-0.007186,0.050604,0.102452,0.148897,-0.630059,0.319067,0.423574,-0.667724,0.493055,-0.575197,-0.661579,-0.619728,-0.553559,-0.595436,-0.473515,-0.387696,-0.301738,-0.219204
2019-05-31,-0.129958,-0.056607,0.009742,0.069366,0.122768,0.170540,-0.641621,0.345177,0.452232,-0.686959,0.523364,-0.570993,-0.680399,-0.634499,-0.563003,-0.597788,-0.477536,-0.386731,-0.296416,-0.210175
2019-05-30,-0.097297,-0.023012,0.044280,0.104814,0.159067,0.207624,-0.625116,0.385211,0.494064,-0.658111,0.566363,-0.576873,-0.648319,-0.602443,-0.531691,-0.594387,-0.446741,-0.355985,-0.265292,-0.178370
2019-05-29,-0.108618,-0.034958,0.031786,0.091843,0.145682,0.193877,-0.619991,0.370220,0.478362,-0.658951,0.550205,-0.563252,-0.652187,-0.608094,-0.538621,-0.584149,-0.454738,-0.364938,-0.275116,-0.188985
